name,administrative_unit,last_update,county,status_notes,location,date_started
Shoemaker FireåÊ,US Forest Service - Angeles National ForeståÊ,"December 12, 2014 2:00 pmåÊ",Los Angeles CountyåÊ,190 acres - 100% contained  ***This is not a CAL FIRE incident. Click on the link above for more information.åÊ,"upper end of East Fork San Gabriel River, North of GlendoraåÊ","August 14, 2014 12:48 pmåÊ"
Little FireåÊ,US Forest Service - Modoc National Forest åÊ,"August 13, 2014 6:15 amåÊ",Modoc CountyåÊ,101 acres - 100% containedåÊ,"Northeast of Mud Springs, 9 miles South of TionestaåÊ","August 12, 2014 3:00 pmåÊ"
Happy Camp ComplexåÊ,US Forest Service - Klamath National ForeståÊ,"August 14, 2014 9:30 amåÊ",Siskiyou CountyåÊ,***This is not a CAL FIRE incident. Click the above link for more information.åÊ,in the Happy Camp areaåÊ,"August 11, 2014 10:00 pmåÊ"
July ComplexåÊ,CAL FIRE Siskiyou Unit / USFS-Klamath National ForeståÊ,"August 6, 2014 10:00 amåÊ",Siskiyou CountyåÊ,"50,042 acres - 100% contained ***This was not a CAL FIRE incident. Click on the link above for more information. 50,042 acres Ì¢åÛåÒ 100% containedåÊ",Whites Fire approximately 4 miles East of Sawyer Bar Log Fire approximately 6 miles West of GreenviewLeef Fire approximately 7 miles Southwest of Callahan. åÊ,"August 2, 2014 9:00 amåÊ"
McClellan FireåÊ,CAL FIRE Humboldt-Del Norte UnitåÊ,"August 2, 2014 8:00 amåÊ",Humboldt CountyåÊ,37 acres - 100% containedåÊ,on Hwy 36 at McClellan Mountain Rd in DinsmoreåÊ,"August 1, 2014 3:47 pmåÊ"
Eiler Fire ,CAL FIRE / USFS - Lassen National ForeståÊ,"August 25, 2014 10:00 amåÊ",Shasta CountyåÊ,åÊ,12 miles southeast of Burney near Old StationåÊ,"July 31, 2014 6:04 pmåÊ"
Little Deer FireåÊ,CAL FIRE Siskiyou Unit / USFS-Klamath National ForeståÊ,"August 18, 2014 10:00 amåÊ",Siskiyou CountyåÊ,"5,503 acres - 100% containedåÊ",ear Little Deer Mountain along Highway 97åÊ,"July 31, 2014 5:45 pmåÊ"
Oregon Gulch Fire (part of the Beaver Complex)åÊ,CAL FIRE Siskiyou Unit / Oregon Dept. of Forestry / Oregon Office of The State Fire MarshalåÊ,"August 18, 2014 9:45 amåÊ",Siskiyou County (Jackson & Klamath counties in Oregon)åÊ,"35,302 acres (9,464 acres in California) - 100% contained åÊ","Community of Copco, South of Oregon BorderåÊ","July 30, 2014 11:00 pmåÊ"
Coffee FireåÊ,US Forest Service - Shasta Trinity National ForeståÊ,"November 14, 2014 1:00 pmåÊ",Shasta CountyåÊ,"6,258 acres - 100% contained***This was not a CAL FIRE incident.  Click on the link above for more information.åÊ",East Fork of the Coffee Creek DrainageåÊ,"July 30, 2014 8:30 pmåÊ"
Bald FireåÊ,CAL FIRE Lassen-Modoc Unit / USFS - Lassen National ForeståÊ,"August 15, 2014 2:00 pmåÊ",Shasta CountyåÊ,"39,736 acres - 100% containedåÊ",8 miles southeast of Fall River MillsåÊ,"July 30, 2014 8:15 pmåÊ"
Day Fire ,CAL FIRE Lassen-Modoc UnitåÊ,"August 13, 2014 7:00 amåÊ",Modoc CountyåÊ,åÊ,North of the community of DayåÊ,"July 30, 2014 7:01 pmåÊ"
Lodge Lightning Complex ,CAL FIRE Mendocino UnitåÊ,"September 9, 2014 7:30 pmåÊ",Mendocino CountyåÊ,åÊ,Wilderness Lodge and Eel River Canyon areaåÊ,"July 30, 2014 6:27 amåÊ"
Beaver FireåÊ,US Forest Service - Klamath National ForeståÊ,"September 2, 2014 1:00 pmåÊ",Siskiyou CountyåÊ,"32,496 acres - 100% contained***This was not a CAL FIRE incident.  Click on the link above for more information.åÊ","orth of Highway 96, off of Beaver Creek RoadåÊ","July 30, 2014 12:00 amåÊ"
Siskiyou County Lightning Fires ,CAL FIRE Siskiyou UnitåÊ,"August 2, 2014 11:00 amåÊ",Siskiyou CountyåÊ,åÊ,Throughout Siskiyou CountyåÊ,"July 29, 2014 1:00 pmåÊ"
Web Fire ,CAL FIRE Butte UnitåÊ,"August 1, 2014 5:30 pmåÊ",Butte CountyåÊ,åÊ,Web Hollow & Big Chico Creek near Forest RanchåÊ,"July 28, 2014 1:11 pmåÊ"
French FireåÊ,US Forest Service - Sierra National ForeståÊ,"July 28, 2014 2:30 pmåÊ",Madera CountyåÊ,"13,838 acres - 100% contained ***This was not a CAL FIRE incident. Click the above link for more information.åÊ","Rock Creek Drainage, south of Mammoth Pool ReservoiråÊ","July 28, 2014 5:45 amåÊ"
El Portal FireåÊ,Yosemite National Park and Stanislaus National ForeståÊ,"August 10, 2014 8:15 amåÊ",Mariposa CountyåÊ,"4,689 acres - 100% contained ***This was not CAL FIRE incidents. Click the above link for more information.åÊ",Near Highway 140 and community of El PortalåÊ,"July 26, 2014 5:00 pmåÊ"
Sand Fire ,CAL FIRE Amador-El Dorado UnitåÊ,"August 2, 2014 7:15 pmåÊ",Amador / El Dorado CountiesåÊ,åÊ,"East of Highway 49, 5 miles north of PlymouthåÊ","July 25, 2014 4:34 pmåÊ"
Gun Club FireåÊ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"July 25, 2014 9:15 amåÊ",Merced CountyåÊ,300 acres - 100% containedåÊ,"Gun Club Rd. at the Santa Fe Canal, GustineåÊ","July 24, 2014 12:06 pmåÊ"
Sabina FireåÊ,CAL FIRE/Riverside County FireåÊ,"July 24, 2014 9:00 amåÊ",Riverside CountyåÊ,78 acres - 100% containedåÊ,Sabina Road and Ballinger Road in the community of AguangaåÊ,"July 23, 2014 10:47 amåÊ"
Iowa FireåÊ,CAL FIRE Nevada-Yuba-Placer UnitåÊ,"July 22, 2014 6:00 pmåÊ",Placer CountyåÊ,14 acres - 100% containedåÊ,Iowa Hill Road south of ColfaxåÊ,"July 21, 2014 2:49 pmåÊ"
Dark Hole FireåÊ,Yosemite National ParkåÊ,"August 20, 2014 7:00 pmåÊ",Mariposa CountyåÊ,"1,080 acres - 100% contained *** This is not a CAL FIRE incident. Please click the link above for more information. åÊ",ear the Yosemite Creek Campground.åÊ,"July 17, 2014 1:00 amåÊ"
Wildlife FireåÊ,CAL FIRE Butte UnitåÊ,"July 16, 2014 8:00 amåÊ",Butte CountyåÊ,72 acres - 100% containedåÊ,"Wildlife Area - Larkin Road, west of OrovilleRoad Closures: None, the Wildlife area north of the Afterbay Outlet is closed to the public.åÊ","July 14, 2014 6:00 pmåÊ"
Marsh Fire ,CAL FIRE Santa Clara UnitåÊ,"July 12, 2014 6:00 pmåÊ",Contra Costa CountyåÊ,åÊ,"off Marsh Creek Rd., near Aspara Drive, east of ClaytonåÊ","July 11, 2014 9:57 pmåÊ"
Bully Fire ,CAL FIRE Shasta-Trinity UnitåÊ,"July 26, 2014 8:00 pmåÊ",Shasta CountyåÊ,7/28/2014åÊ,"Plantina Road at Bland Road, IgoåÊ","July 11, 2014 3:37 pmåÊ"
Nicolls Fire åÊ,Sequoia National ForeståÊ,"July 21, 2014 2:45 pmåÊ",Kern CountyåÊ,"1,680 acres - 100% contained ***This was not a CAL FIRE incident. Click the above link for more information åÊ",Kelso Valley/Onyx areaåÊ,"July 11, 2014 1:46 pmåÊ"
Bible FireåÊ,CAL FIRE Amador-El Dorado UnitåÊ,"July 9, 2014 4:45 pmåÊ",El Dorado CountyåÊ,30 acres - 100% containedåÊ,"off Mt Aukum Rd, Somerset åÊ","July 9, 2014 2:34 pmåÊ"
Dry FireåÊ,CAL FIRE Shasta-Trinity UnitåÊ,"July 10, 2014 7:30 amåÊ",Shasta CountyåÊ,143 acres - 100% containedåÊ,"off Hwy 299 & Dry Creek Rd, east of Bella VistaåÊ","July 9, 2014 1:45 pmåÊ"
Hutto FireåÊ,CAL FIRE Nevada-Yuba-PlaceråÊ,"July 8, 2014 6:56 amåÊ",Nevada CountyåÊ,38 acres - 100% contained åÊ,on Hutto Rd & Keller Rd in SmartsvilleåÊ,"July 7, 2014 4:35 pmåÊ"
Interlake FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"July 8, 2014 6:30 pmåÊ",Firefighters are battling multiple fires in Monterey & San Luis Obispo CountiesåÊ,47 acres - 100% contained. All other roadside fires in San Luis Obispo County are 100% contained.åÊ,along Interlake Road between Monterey & San Luis Obispo CountyåÊ,"July 7, 2014 4:12 pmåÊ"
Cassel Fire ,CAL FIRE Shasta-Trinity UnitåÊ,"July 8, 2014 6:30 pmåÊ",Shasta CountyåÊ,åÊ,"Off Cassel Road at Thrush Road, in CasselåÊ","July 5, 2014 6:44 pmåÊ"
Monticello Fire ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"July 12, 2014 6:00 pmåÊ",Yolo CountyåÊ,åÊ,"Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa åÊ","July 4, 2014 9:32 pmåÊ"
Gulch Fire ,CAL FIRE Lassen-Modoc Unit / Modoc National ForeståÊ,"July 7, 2014 7:00 amåÊ",Modoc CountyåÊ,åÊ,"Off highway 139, 15 miles north of Canby - The fire is burning on the east side of Hwy 139åÊ","July 3, 2014 3:46 pmåÊ"
Banner Fire ,CAL FIRE San Diego UnitåÊ,"July 6, 2014 9:15 amåÊ",San Diego CountyåÊ,åÊ,"Banner Grade, east of JulianåÊ","July 3, 2014 10:43 amåÊ"
Modoc Lightning ComplexåÊ,Modoc National ForeståÊ,"July 3, 2014 10:30 amåÊ",Modoc CountyåÊ,"1,651 acres - 100% contained ***This was not a CAL FIRE incident. Click the above link for more informationåÊ",15 fires across the Modoc National ForeståÊ,"July 1, 2014 7:00 pmåÊ"
Ranch FireåÊ,Sequoia National ForeståÊ,"July 6, 2014 8:30 amåÊ",Kern CountyåÊ,70 acres - 100% contained. ***This was not a CAL FIRE incident. Click the above link for more informationåÊ,Southwest of Greenhorn SummitåÊ,"July 1, 2014 6:15 pmåÊ"
Butts Fire ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"July 9, 2014 6:00 pmåÊ",Napa & Lake CountiesåÊ,åÊ,"Off Butts Canyon Rd in Pope Valley, northwest of Lake BerryessaåÊ","July 1, 2014 12:08 pmåÊ"
West FireåÊ,Shasta - Trinity National ForeståÊ,"July 3, 2014 10:45 amåÊ",Trinity CountyåÊ,15 acres - 100% contained ***This was not a CAL FIRE incident. Click the above link for more informationåÊ,ear the Trinity Pines communityåÊ,"July 1, 2014 3:45 amåÊ"
Curie FireåÊ,CAL FIRE Santa Clara UnitåÊ,"July 1, 2014 8:30 amåÊ",Santa Clara CountyåÊ,125 acres - 100% containedåÊ,Off Curie Drive south of San JoseåÊ,"June 30, 2014 2:10 pmåÊ"
Oak Fire ,CAL FIRE Tuolumne Calaveras UnitåÊ,"June 24, 2014 7:00 pmåÊ",Calaveras CountyåÊ,åÊ,"Oak Valley Road at Pool Station Road, south of San AndreasåÊ","June 22, 2014 12:37 pmåÊ"
Reed FireåÊ,CAL FIRE Tuolumne Calaveras UnitåÊ,"June 21, 2014 7:00 pmåÊ",Calaveras CountyåÊ,120 acres - 100% containedåÊ,"off George Reed Drive and Pool Station Road, San AndreasåÊ","June 20, 2014 3:27 pmåÊ"
Stoney FireåÊ,"Department of Defense, US ArmyåÊ","June 21, 2014 7:00 pmåÊ",Monterey CountyåÊ,"4,840 acres - 100% contained***This was not a CAL FIRE incident. Click the above link for more informationåÊ","Nacimiento Fergusson Road & Stoney Valley, Fort Hunter LiggettåÊ","June 19, 2014 3:14 pmåÊ"
Shirley FireåÊ,Sequoia National ForeståÊ,"June 20, 2014 8:30 amåÊ",Kern CountyåÊ,"2,545 acres - 100% contained*** This was NOT a CAL FIRE incident. Click the following link for more information. Click HereåÊ",3 Miles south of Shirley MeadowsåÊ,"June 13, 2014 5:00 pmåÊ"
Tehama FireåÊ,CAL FIRE Tehama-Glenn UnitåÊ,"June 13, 2014 1:50 pmåÊ",Tehama CountyåÊ,225 acres - 100% containedåÊ,"Rancho Tehama, southwest of Red BluffåÊ","June 13, 2014 12:23 pmåÊ"
Norman FireåÊ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"June 13, 2014 8:00 amåÊ",Solano CountyåÊ,70 acres - 100% containedåÊ,"off Rolling Hills Lane, north of Vacaville åÊ","June 12, 2014 2:29 pmåÊ"
Hall FireåÊ,CAL FIRE Fresno-Kings UnitåÊ,"June 9, 2014 7:15 pmåÊ",Fresno CountyåÊ,25 acres - 100% containedåÊ,ear Hwy 180 & Hall Lane near Squaw ValleyåÊ,"June 11, 2014 7:30 amåÊ"
Haigh Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"June 13, 2014 6:30 pmåÊ",Mariposa CountyåÊ,åÊ,"Highway 49 and Haigh Rd., north of CoultervilleåÊ","June 10, 2014 3:11 pmåÊ"
Morgan Fire ,CAL FIRE Fresno-Kings UnitåÊ,"June 11, 2014 7:30 amåÊ",Fresno CountyåÊ,åÊ,"ear the 16,000 block of Highway 168 near PratheråÊ","June 9, 2014 3:15 pmåÊ"
Bogart Fire ,CAL FIRE Riverside County FireåÊ,"June 7, 2014 7:00 pmåÊ",Riverside CountyåÊ,åÊ,in Bogart Park in Cherry ValleyåÊ,"June 6, 2014 5:32 pmåÊ"
Valley Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"June 8, 2014 7:45 pmåÊ",Mariposa CountyåÊ,åÊ,"off Hunters Valley Road near the southeast shore of Lake McClure. ÌâåÊ ÌâåÊ
","June 6, 2014 5:29 pmåÊ"
Hetch Hetchy FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"June 6, 2014 9:30 amåÊ",Tuolumne CountyåÊ,269 acres - 100% containedåÊ,"off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro ReservoiråÊ","June 5, 2014 1:04 pmåÊ"
Santa FireåÊ,CAL FIRE Riverside UnitåÊ,"June 4, 2014 4:30 pmåÊ",Riverside CountyåÊ,14 acres - 100% containedåÊ,off Santa Rosa & Rancho California Road in Temecula åÊ,"June 4, 2014 3:18 pmåÊ"
59 FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"June 5, 2014 8:00 pmåÊ",Tuolumne CountyåÊ,487 acres - 100% containedåÊ,"ear Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro ReservoiråÊ","June 4, 2014 11:45 amåÊ"
Lake FireåÊ,CAL FIRE Tuolumne-Calaveras UnitåÊ,"May 29, 2014 8:45 amåÊ",Stanislaus CountyåÊ,37 acres - 100% contained åÊ,Hwy 132 and Lake Rd near LaGrangeåÊ,"May 27, 2014 11:23 amåÊ"
Hunters Fire ,CAL FIRE Madera-Mariposa-Merced UnitåÊ,"June 2, 2014 6:30 pmåÊ",Mariposa CountyåÊ,6/02/14åÊ,"Hunters Valley area, near the southeast shore of Lake McClureåÊ","May 26, 2014 3:33 pmåÊ"
Indian FireåÊ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"May 26, 2014 8:45 amåÊ",Lake CountyåÊ,175 acres - 100% containedåÊ,"Near Indian Valley Reservoir, East of Clearlake OaksåÊ","May 25, 2014 12:20 pmåÊ"
San Mateo FireåÊ,Marine Corps Base Camp PendletonåÊ,"May 20, 2014 11:30 pmåÊ",San Diego CountyåÊ,"1,457 acres - 100% contained***This was NOT a CAL FIRE incident. Click the link above for info from the Pendleton Fire DeptåÊ",in the Talega area of Marine Corps Base Camp PendletonåÊ,"May 16, 2014 11:24 amåÊ"
Pulgas FireåÊ,Marine Corps Base Camp PendletonåÊ,"May 21, 2014 5:00 pmåÊ",San Diego CountyåÊ,"14,416 acres - 100% contained***This was NOT a CAL FIRE incident. Click the link above for info from the Pendleton Fire DeptåÊ","Off Interstate 5 at Las Pulgas Rd, north of OceansideåÊ","May 15, 2014 2:45 pmåÊ"
Freeway Fire åÊ,Marine Corps Base - Camp PendletonåÊ,"May 20, 2014 11:30 amåÊ",San Diego County åÊ,56 acres - 100% contained CAL FIRE is assisting but click the link above for more information from Camp PendletonåÊ,"Naval Weapons Station, FallbrookåÊ","May 14, 2014 5:43 pmåÊ"
Cocos Fire ,San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire DeptåÊ,"May 22, 2014 6:15 pmåÊ",San Diego County åÊ,åÊ,"Village Drive and Twin Oaks Road, San MarcosåÊ","May 14, 2014 4:00 pmåÊ"
Fiddler FireåÊ,CAL FIRE Shasta-Trinity UnitåÊ,"May 15, 2014 11:30 amåÊ",Shasta CountyåÊ,50 acres - 100% contained.åÊ,Off Perla Rd & Fiddlers Rd in IgoåÊ,"May 14, 2014 2:00 pmåÊ"
Highway Fire ,CAL FIRE San Diego UnitåÊ,"May 15, 2014 6:30 pmåÊ",San Diego CountyåÊ,åÊ,off Old Hwy 395 and I-15 in the Deer Springs area åÊ,"May 14, 2014 1:00 pmåÊ"
River FireåÊ,Oceanside Fire DepartmentåÊ,"May 19, 2014 9:20 amåÊ",San Diego CountyåÊ,105 acres - 100% contained This was NOT a CAL FIRE incident. Click the link above for information.åÊ,"North River Road and College Blvd., OceansideåÊ","May 14, 2014 12:12 pmåÊ"
Poinsettia FireåÊ,Carlsbad Fire DepartmentåÊ,"May 17, 2014 12:00 amåÊ",San Diego CountyåÊ,600 acres - 100% contained   ***This was NOT a CAL FIRE incident. Click the link above for information from the Carlsbad Fire DepartmentåÊ,off Poinsettia Ln & Alicante Rd in CarlsbadåÊ,"May 14, 2014 10:30 amåÊ"
Tomahawk Fire ,Marine Corps Base Camp PendletonåÊ,"May 19, 2014 9:20 amåÊ",San Diego CountyåÊ,åÊ,"Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton åÊ","May 14, 2014 9:45 amåÊ"
Miguelito Fire ,Santa Barbara County FireåÊ,"May 19, 2014 9:20 amåÊ",Santa Barbara CountyåÊ,åÊ,Off Santa Miguelito Canyon Road in LompocåÊ,"May 13, 2014 2:00 pmåÊ"
Bernardo Fire ,CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire DistrictåÊ,"May 17, 2014 8:14 pmåÊ",San Diego CountyåÊ,åÊ,"off Nighthawk Lane, southwest of Rancho BernardoåÊ","May 13, 2014 11:00 amåÊ"
Jacumba FireåÊ,CAL FIRE San Diego UnitåÊ,"May 6, 2014 10:20 amåÊ",San Diego CountyåÊ,29 acres - 100% containedåÊ,"Off Interstate 8, east of McCain Valley Rd, east of BoulevardåÊ","May 5, 2014 4:36 pmåÊ"
San Lucas FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"May 1, 2014 7:00 pmåÊ",Monterey CountyåÊ,75 acres - 100% containedåÊ,"San Lucas & Jolon Rd, west of King City åÊ","April 30, 2014 2:25 pmåÊ"
Etiwanda Fire ,CAL FIRE San Bernardino / USFS / Rancho Cucamonga FireåÊ,"May 5, 2014 5:30 pmåÊ",San Bernardino CountyåÊ,åÊ,North of Rancho CucamongaåÊ,"April 30, 2014 8:00 amåÊ"
Bridges Fire ,CAL FIRE San Bernardino UnitåÊ,"April 21, 2014 7:15 pmåÊ",Inyo CountyåÊ,"Tuesday, April 22, 2014åÊ","off Highway 6 & 5 Bridges Rd, 5 miles northeast of BishopåÊ","April 19, 2014 3:54 pmåÊ"
Van Buren FireåÊ,CAL FIRE / Riverside County FireåÊ,"March 29, 2014 5:15 pmåÊ",Riverside CountyåÊ,57 acres - 100% containedåÊ,Off Ave 62 and Van Buren St in ThermalåÊ,"March 28, 2014 2:31 pmåÊ"
Encinal Fire ,CAL FIRE San Benito-Monterey UnitåÊ,"March 21, 2014 6:00 pmåÊ",Monterey CountyåÊ,åÊ,"Off Encinal Rd, 8 miles southeast of SalinasåÊ","March 19, 2014 4:45 pmåÊ"
Pierce FireåÊ,CAL FIRE / Riverside County Fire DepartmentåÊ,"March 16, 2014 8:30 amåÊ",Riverside CountyåÊ,350 acres - 100% containedåÊ,off Ave 66 and Pierce St in ThermalåÊ,"March 15, 2014 4:37 pmåÊ"
Gun FireåÊ,USFS - Cleveland National ForeståÊ,"March 11, 2014 11:00 amåÊ",San Diego CountyåÊ,125 acres - 100% contained ***This was NOT a CAL FIRE incident. Click the link above for information from the US Forest Service.åÊ,"Off Interstate 8 & Sunrise Hwy, near Pine ValleyåÊ","March 8, 2014 12:30 pmåÊ"
Lake FireåÊ,CAL FIRE Fresno-Kings UnitåÊ,"January 26, 2014 6:00 pmåÊ",Fresno CountyåÊ,106 acres - 100% containedåÊ,off Trimmer Springs Rd & Sunnyslope Rd near Pine Flat Lake åÊ,"January 25, 2014 6:37 amåÊ"
Brewer FireåÊ,CAL FIRE Nevada-Placer-Yuba Unit / Placer County FireåÊ,"January 22, 2014 4:35 pmåÊ",Placer CountyåÊ,120 acres - 100% containedåÊ,"off South Brewer Road, west of RosevilleåÊ","January 22, 2014 1:10 pmåÊ"
Colby FireåÊ,Angeles National Forest and LA County Fire DepartmentåÊ,"January 27, 2014 10:00 amåÊ",Los Angeles CountyåÊ,"1,952 acres - 100% contained ***This was NOT a CAL FIRE incident. Click the link above for information from the Angeles National ForeståÊ","ear Morris Reservoir, north of GlendoraåÊ","January 16, 2014 5:50 amåÊ"
Red FireåÊ,CAL FIRE Humboldt Del-Norte UnitåÊ,"January 8, 2014 7:15 pmåÊ",Humboldt CountyåÊ,333 acres - 100% containedåÊ,"South of Berry Summit, west of Willow CreekåÊ","January 4, 2014 12:00 pmåÊ"
Bridge FireåÊ,CAL FIRE Humboldt Del-Norte UnitåÊ,"January 4, 2014 6:30 pmåÊ",Humboldt CountyåÊ,18 acres - 100% containedåÊ,ear the community of BridgevilleåÊ,"January 3, 2014 10:30 amåÊ"
Campbell FireåÊ,Lassen National ForeståÊ,"January 10, 2014 6:30 pmåÊ",Tehama CountyåÊ,865 acres - 100% contained***This was NOT a CAL FIRE incident. Click the link above for information from the Lassen National ForeståÊ,"Ishi Wilderness, north of Campbellville in the Lassen National ForeståÊ","January 2, 2014 8:00 pmåÊ"
Honcut FireåÊ,CAL FIRE Butte UnitåÊ,"January 2, 2014 7:30 amåÊ",Butte CountyåÊ,60 acres - 100% containedåÊ,off Palermo Honcut Highway and Ahart Road near the community of HoncutåÊ,"January 1, 2014 10:46 amåÊ"
Solimar FireåÊ,Ventura County Fire DepartmentåÊ,"December 29, 2015 10:00 amåÊ",Ventura County Fire DepartmentåÊ,1388 acres - 100% contained*** Not a CAL FIRE incident. Click the link for information from the Ventura County Fire DepartmentåÊ,"6 Miles NW of Ventura - North of Highway 101, West of Hwy 33,  in the SRAåÊ","December 25, 2015 10:42 pmåÊ"
Banister FireåÊ,Ventura County Fire DepartmentåÊ,"November 12, 2015 6:00 pmåÊ",Ventura CountyåÊ,29 acres - 100% contained*** Not a CAL FIRE incident. Click the link for information from the Ventura County Fire Department åÊ,off Wood Ranch Parkway 2 miles sw of Simi ValleyåÊ,"November 11, 2015 5:40 pmåÊ"
Potrero FireåÊ,Ventura County Fire DepartmentåÊ,"November 7, 2015 4:45 pmåÊ",Ventura CountyåÊ,50 acres - 100% contained*** Not a CAL FIRE incident. Click the link for information from the Ventura County Fire DepartmentåÊ,"Hidden Valley area, southwest of Thousand OaksåÊ","November 7, 2015 1:45 amåÊ"
Gibraltar FireåÊ,Los Padres National ForeståÊ,"November 9, 2015 12:00 pmåÊ",Santa Barbara CountyåÊ,21 acres - 100% contained *** Not a CAL FIRE incident. Click the link for information from the US Forest Service åÊ,etween Montecito Peak and Coldspring SaddleåÊ,"October 29, 2015 5:30 amåÊ"
Cienega Fire ,CAL FIRE San Benito - Monterey UnitåÊ,"October 16, 2015 6:00 pmåÊ",San Benito CountyåÊ,670 acres - 100% containedåÊ,"Cienega Rd & Limekiln Rd, south of HollisteråÊ","October 12, 2015 4:00 pmåÊ"
Military FireåÊ,Shasta-Trinity National Forest åÊ,"October 10, 2015 6:45 pmåÊ",Siskiyou County åÊ,58 Acres - 100% contained *** This is not a CAL FIRE incident. For more information use the link above.åÊ,Along Military Pass Road åÊ,"October 10, 2015 12:00 pmåÊ"
King Fire åÊ,CAL FIRE Tulare UnitåÊ,"October 13, 2015 3:55 pmåÊ",Tulure CountyåÊ,36 acres - 100% containedåÊ,"Old Control Road, 2 Miles West of California Hot SpringsåÊ","October 9, 2015 6:30 pmåÊ"
Meridian Fire ,CAL FIRE Butte Unit / Butte County FireåÊ,"October 4, 2015 6:40 pmåÊ",Butte CountyåÊ,åÊ,"off Hwy 99 & Meridian Rd, north of ChicoåÊ","October 3, 2015 9:15 pmåÊ"
Munjar FireåÊ,CAL FIRE Butte Unit åÊ,"October 2, 2015 5:50 pmåÊ",Butte County åÊ,104 acres - 100% containedåÊ,"Munjar Rd, 10 miles north of ChicoåÊ","October 2, 2015 2:38 pmåÊ"
McCourtney FireåÊ,CAL FIRE Nevada-Yuba-Placer UnitåÊ,"September 21, 2015 2:36 pmåÊ",Nevada CountyåÊ,30 acres - 100% containedåÊ,"off McCourtney Rd & Perimeter Rd, east of Camp Far West Reservoir åÊ","September 22, 2015 7:00 amåÊ"
Laureles FireåÊ,CAL FIRE San Benito-Monterey UnitåÊ,"September 21, 2015 6:20 pmåÊ",Monterey CountyåÊ,95 acres - 100% containedåÊ,off Laureles Grade and Highway 68 åÊ,"September 19, 2015 3:25 pmåÊ"
Tassajara Fire ,CAL FIRE San Benito-Monterey UnitåÊ,"September 27, 2015 6:15 pmåÊ",Monterey CountyåÊ,9/27/2015åÊ,Tassajara Rd at Carmel Valley RdåÊ,"September 19, 2015 3:00 pmåÊ"
Valley Fire ,CAL FIRE Sonoma-Lake-Napa UnitåÊ,"October 15, 2015 7:45 pmåÊ",åÊ,åÊ,outhern Lake CountyåÊ,"September 12, 2015 1:24 pmåÊ"
Walker Fire ,CAL FIRE Shasta-Trinity UnitåÊ,"September 13, 2015 10:15 amåÊ",Shasta CountyåÊ,åÊ,Windwalker Ln & Small Farms Dr in IgoåÊ,"September 11, 2015 3:08 pmåÊ"
Lumpkin Fire ,CAL FIRE Butte UnitåÊ,"September 17, 2015 7:30 pmåÊ",Butte CountyåÊ,åÊ,"off Lumpkin Road and Forbestown Road, Robinson MillåÊ","September 11, 2015 2:15 pmåÊ"
Pacheco FireåÊ,CAL FIRE Santa Clara UnitåÊ,"September 10, 2015 6:50 pmåÊ",Santa Clara CountyåÊ,215 acres - 100% containedåÊ,"off Hwy 152 at Dinosaur Point, 3 miles west of San Luis ReservoiråÊ","September 9, 2015 3:58 pmåÊ"
Creek FireåÊ,CAL FIRE Fresno Kings UnitåÊ,"September 11, 2015 7:17 pmåÊ",Fresno CountyåÊ,170 acres - 100% containedåÊ,Squaw Valley Road and Sand Creek RoadåÊ,"September 9, 2015 2:30 pmåÊ"
Butte Fire ,CAL FIRE Amador - El Dorado UnitåÊ,"October 15, 2015 7:45 pmåÊ",åÊ,10/1/2015åÊ,east of JacksonåÊ,"September 9, 2015 2:26 pmåÊ"
Center FireåÊ,CAL FIRE Lassen - Modoc UnitåÊ,"September 10, 2015 7:49 amåÊ",Lassen CountyåÊ,40 acres - 100% containedåÊ,"Center Rd, east of SusanvilleåÊ","September 9, 2015 2:12 pmåÊ"
Antelope FireåÊ,Kern County Fire DepartmentåÊ,"September 15, 2015 7:10 pmåÊ",Kern CountyåÊ,45 acres - 100% containmentåÊ,Antelope Canyon south of TehachapiåÊ,"September 9, 2015 11:45 amåÊ"
Browns FireåÊ,CAL FIRE Shasta-Trinity UnitåÊ,"September 10, 2015 5:05 pmåÊ",Trinity CountyåÊ,35 acres - 100% containedåÊ,Hwy 299 and Little Browns Creek Rd east of WeavervilleåÊ,"September 8, 2015 3:56 pmåÊ"
