name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Seven Eleven Fire,Six Rivers National Forest,7/16/07 19:30,Del Norte,140,100% contained - 140 acres,Near the town of Gasquet ,7/11/07 1:00,7/11/07,1:00:00
Yeager Fire,CAL FIRE Nevada-Yuba-Placer Unit,8/12/11 20:00,Yuba County,140,140 acres - 100% contained.,"Chuck Yeager Rd and Waldo Rd, south of Smartsville",8/11/11 15:55,8/11/11,15:55:00
Famoso Fire,Kern County Fire,7/16/16 7:40,Kern County,138,138 acres - 100% contained,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",7/15/16 23:55,7/15/16,23:55:00
Lanes Fire ,CAL FIRE Fresno-Kings Unit,8/13/12 19:15,Fresno County,138,138 acres - 100% contained,"Hwy 168 & Lodge Rd, southeast of Auberry",8/11/12 12:30,8/11/12,12:30:00
Ward Fire,**This was NOT a CAL FIRE Incident. Click this link for more information from the US Forest Service  ,4/18/15 23:50,Plumas County,137,137 acres - 100% contained,East of Taylorsville,4/13/15 5:30,4/13/15,5:30:00
Parrots Fire,CAL FIRE Tuolumne-Calaveras Unit,1/4/19 9:24,Calaveras County,136,136 acres - 100% contained,"Parrots Ferry Rd x Camp 9 Rd, South of the community of Vallecito",8/5/18 4:19,8/5/18,4:19:00
Gorman Fire,Los Angles County Fire Department,1/9/18 12:07,Los Angeles County,135,135 acres - 100% contained***This is not a CAL FIRE incident. Click the link above for more information from the Los Angeles County Fire Department,"Gorman School Rd at I-5, Gorman, Los Angeles County",7/28/17 15:25,7/28/17,15:25:00
Red Fire,CAL FIRE Madera-Mariposa-Merced Unit,6/23/15 18:25,Madera County,135,"135 acres, 100% contained","Red Tail Road and Road 211, south of O'Neal",6/21/15 12:08,6/21/15,12:08:00
Angora Fire,Sequoia National Forest,9/24/13 20:15,Tulare County,134,134 acres - 100% contained*** This was not a CAL FIRE incident.  Please click the link above for more information from the Sequoia National Forest.,Golden Trout Wilderness,9/8/13 11:53,9/8/13,11:53:00
Penn Fire ,CAL FIRE Tuolumne-Calaveras Unit,7/29/12 7:30,Calaveras County,134,134 acres - 100% contained,"Off Skunk Ranch Road, near Pennsylvania Gulch,Ã‚East of Murphys",7/25/12 15:24,7/25/12,15:24:00
Sage Fire,CAL FIRE Riverside Unit / Riverside County Fire ,6/25/11 18:00,Riverside County,134,134 acres - 100% contained,"Hwy 79 S and Sage Rd, Aguanga",6/24/11 12:55,6/24/11,12:55:00
Skyway Fire,CAL FIRE / Butte County Fire,1/9/18 10:34,Butte County,134,134 acres - 100% contained,"off Skyway and Hwy 99, east of Chico",6/16/17 9:27,6/16/17,9:27:00
Canyon Fire ,CAL FIRE Fresno-Kings Unit,6/20/11 19:00,Fresno County,133,133 acres - 100% contained,"Hwy 180 and Porter west of Squaw Valley, 8 miles east of Sangor",6/19/11 20:15,6/19/11,20:15:00
Spanish Fire,CAL FIRE Humboldt-Del Norte Unit,9/3/12 18:15,Humboldt County,133,133 acres - 100% contained,Spanish Flat in the Kings Range,8/31/12 23:16,8/31/12,23:16:00
Avocado Fire,CAL FIRE Fresno-Kings Unit,5/17/16 19:10,Fresno County,132,132 acres - 100% contained,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",5/15/16 16:38,5/15/16,16:38:00
El Dorado Complex ,CAL FIRE Amador-El Dorado Unit,12/4/11 17:30,El Dorado County,132,9 fires - 132 acres - 100% contained,Throughout El Dorado County.,12/1/11 11:00,12/1/11,11:00:00
Bangor Fire,CAL FIRE Butte Unit,9/23/16 10:30,Butte County,130,130 acres - 100% contained,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",9/22/16 11:45,9/22/16,11:45:00
Hub Fire,CDF Tuolumne-Calaveras Unit,7/22/06 7:00,Calaveras ,130,100% contained-130 acres,2 miles southwest of  Copperopolis,7/19/06 15:00,7/19/06,15:00:00
Olive Fire,CAL FIRE San Luis Obispo Unit,1/9/18 9:54,San Luis Obispo County,130,130 acres - 100% contained,"Off Highway 41, north of Cholame",5/2/17 14:32,5/2/17,14:32:00
MMU Lightning Complex ,CAL FIRE Madera-Mariposa-Merced Unit,8/3/11 8:00,Madera & Mariposa Counties,129,16 fires for 129 acres - 100% contained,Throughout Madera & Mariposa Counties,7/31/11 12:40,7/31/11,12:40:00
Oak Fire,CAL FIRE Shasta-Trinity Unit,1/9/18 11:16,Shasta County,128,128 acres - 100% contained,"off Oak Run Rd and Pierce Hollow Rd, east of Redding",7/1/17 0:48,7/1/17,0:48:00
Pico Fire,Los Angeles County Fire Department ,1/4/19 9:37,Los Angeles County,128,128 acres - 100% contained. Forward progress stopped. ,"off West Pico Canyon Rd and Potrero Canyon Rd, Stevenson Ranch area",7/23/18 12:55,7/23/18,12:55:00
27 Fire,CAL FIRE Sonoma-Lake-Napa Unit,9/5/12 7:30,Yolo County,127,127 acres - 100% contained,"Road 27 and Road 88, Madison",9/4/12 15:00,9/4/12,15:00:00
Open Fire,Mendocino National Forest ,1/4/19 10:19,Glenn County,127,127 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for information from Mendocino National Forest ,"Open Ridge, NW of Dry Creek Hill, 11 miles SW of Elk Creek",6/1/18 15:20,6/1/18,15:20:00
Ranch Fire,CAL FIRE / Riverside County Fire,6/23/10 6:40,Riverside County,127,127 acres - 100% contained,Old Ranch Rd and Cactus Valley Rd in the Sage area,6/22/10 14:33,6/22/10,14:33:00
Shastina Fire,CAL FIRE Siskiyou Unit,1/4/19 10:25,Siskiyou County,127,127 acres - 100% contained,"west of Rancho Hills, community of Lake Shastina, north of Weed",5/9/18 18:11,5/9/18,18:11:00
Tumey Fire,CAL FIRE Fresno-Kings Unit,1/9/18 9:52,Fresno County,126,126 acres - 100% contained.,"Panoche Rd, 5 miles west of I-5",4/29/17 17:15,4/29/17,17:15:00
Coronado Fire,CAL FIRE Madera-Mariposa-Merced Unit ,1/9/18 12:40,Mariposa County,125,125 acres - 100% contained,Merced Falls Rd and Coronado Rd in Lake McClure,8/13/17 16:23,8/13/17,16:23:00
Curie Fire,CAL FIRE Santa Clara Unit,7/1/14 8:30,Santa Clara County,125,125 acres - 100% contained,Off Curie Drive south of San Jose,6/30/14 14:10,6/30/14,14:10:00
Elk Fire,CAL FIRE Tehama-Glenn Unit,8/29/12 19:25,Glenn County,125,125 acres - 100% contained,"Hwy 162 & County Road 306, east of Elk Creek ",8/29/12 16:40,8/29/12,16:40:00
Gun Fire,USFS - Cleveland National Forest,3/11/14 11:00,San Diego County,125,125 acres - 100% contained ***This was NOT a CAL FIRE incident. Click the link above for information from the US Forest Service.,"Off Interstate 8 & Sunrise Hwy, near Pine Valley",3/8/14 12:30,3/8/14,12:30:00
Jefferson Fire,San Bernardino National Forest,11/23/06 19:00,San Bernardino,125,100% contained - 125 acres,2 miles north of Yucaipa,11/21/06 22:18,11/21/06,22:18:00
Scott Fire ,Colton Fire Department / CAL FIRE San Bernardino Unit,11/6/10 22:15,San Bernardino County,125,125 acres - 100% contained.,Reche Canyon Road and Scotch Lane in Colton ,11/6/10 13:35,11/6/10,13:35:00
Sterling,San Bernardino National Forest/San Bernardino County Fire,1/4/19 9:12,San Bernardino County,125,125 acres - 100% contained. *** This is not a CAL FIRE incident. Click the link for more information.,"Sterling Ave and Foothill Dr, City of San Bernardino",8/31/18 17:58,8/31/18,17:58:00
Windy Fire ,CAL FIRE Butte Unit,9/14/10 18:00,Tehama County,125,125 acres - 100% contained,"North of Hwy 32 at Windy Point, northwest of Windy Cut Lookout in the Deer Creek drainage",9/6/10 12:00,9/6/10,12:00:00
Yellow Fire ,CAL FIRE Sonoma-Lake-Napa Unit,5/3/13 6:15,Sonoma County,125,125 acres - 100% contained. ,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",5/1/13 2:01,5/1/13,2:01:00
152 Fire,CAL FIRE Madera-Mariposa-Merced Unit,6/5/13 8:30,Merced County,124,124 acres - 100% contained,Hwy 152 in San Luis Creek Reservoir,6/4/13 15:42,6/4/13,15:42:00
California Fire,CAL FIRE Sanoma-Lake-Napa Unit,6/18/13 22:30,Solano County,124,124 acres - 100% contained,"Off Lake Herman Rd, west of Hwy 680 in Benicia",6/18/13 15:18,6/18/13,15:18:00
Smiley Fire,CAL FIRE/Riverside County Fire,5/25/13 23:00,Riverside County,124,124 acres - 100% contained,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",5/25/13 14:59,5/25/13,14:59:00
Twist Fire,CAL FIRE Tuolumne-Calaveras Unit ,1/9/18 12:14,Tuolumne County,124,124 acres - 100% contained,"Twist Road south of Algerine Road, Jamestown",7/30/17 16:28,7/30/17,16:28:00
Lake Fire,CAL FIRE San Luis Obispo Unit,7/21/09 18:00,San Luis Obispo County,123,123 acres - 100% containedLake Fire Final Fact Sheet,Nacimiento Lake Area,7/19/09 13:35,7/19/09,13:35:00
Martin Ranch Fire ,CAL FIRE San Bernardino ,10/30/07 6:00,San Bernardino County ,123,100% contained - 123 acres,Martin Ranch Road at Meyers Road,10/23/07 1:03,10/23/07,1:03:00
Collier Fire,CAL FIRE Amador-El Dorado Unit,6/18/15 21:15,San Joaquin County,122,122 acres - 100% contained,"Jack Tone Rd & Collier Rd, east of Herald",6/18/15 14:09,6/18/15,14:09:00
Pala Fire,CAL FIRE San Diego Unit,5/25/09 11:00,San Diego County,122,122 acres - 100% contained.Google Map,"Hwy 76 and Pala Temecula, northwest of Pala",5/24/09 14:56,5/24/09,14:56:00
Rock Creek Fire,Inyo National Forest,8/7/16 19:33,Mono County,122,"122 acres - 100% contained **This is NOT a CAL FIRE incident. For more information, click on the link above.",outheast of Mammoth Lakes and a mile north of the community of Swall Meadows.,8/5/16 15:45,8/5/16,15:45:00
Stewart Fire,CAL FIRE/Riverside County Fire,1/9/18 12:19,Riverside County,122,122 acres - 100% contained,Stewart Rd at Woodson Rd in Moreno Valley,8/4/17 14:25,8/4/17,14:25:00
Red Fire,CAL FIRE Tuolumne-Calaveras Unit,9/4/11 9:00,Tuolumne County,121,121 acres - 100% contained,County Road J59 at Old Don Pedro Road in Jamestown.,9/3/11 17:00,9/3/11,17:00:00
Brewer Fire,CAL FIRE Nevada-Placer-Yuba Unit / Placer County Fire,1/22/14 16:35,Placer County,120,120 acres - 100% contained,"off South Brewer Road, west of Roseville",1/22/14 13:10,1/22/14,13:10:00
Coe Fire,CAL FIRE Santa Clara Unit,6/9/16 17:10,Stanislaus County,120,120 acres - 100% contained,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",6/7/16 16:30,6/7/16,16:30:00
Hawkinsville Fire  ,CAL FIRE Siskiyou Unit,9/4/11 18:00,Siskiyou County,120,120 acres - 100% contained,West of Hawkinsville off Hawkinsville Road on Badger Mtn,9/1/11 16:05,9/1/11,16:05:00
Lamb Fire,CAL FIRE/Riverside County Fire,1/9/18 10:16,Riverside County,120,120 acres - 100% contained,"Lamb Canyon & Dump Road, north of Hemet ",5/25/17 14:48,5/25/17,14:48:00
Margarita Fire,CAL FIRE San Luis Obispo Unit,1/9/18 12:50,San Luis Obispo County,120,120 acres  - 100% contained ,"Santa Margarita Lake Rd. and W. Pozo Rd., 7 miles SE of Santa Margarita",9/3/17 16:59,9/3/17,16:59:00
Market Fire,CAL FIRE Tulare Unit,1/4/19 8:51,Tulare County,120,120 acres - 100% contained,"Road 208 and Avenue 380, 5 miles north of Woodlake",10/24/18 12:18,10/24/18,12:18:00
Palmer Fire,CAL FIRE Riverside Unit/Riverside County Fire,9/3/10 16:30,Riverside County,120,"3 fires at 120 acres - 100% contained1st Fire - 93 acres, 2nd Fire - 25 acres, 3rd Fire - 2 acres.","West Oak Valley Parkway and Palmer Ave, Beaumont",9/3/10 12:09,9/3/10,12:09:00
Reed Fire,CAL FIRE Tuolumne Calaveras Unit,6/21/14 19:00,Calaveras County,120,120 acres - 100% contained,"off George Reed Drive and Pool Station Road, San Andreas",6/20/14 15:27,6/20/14,15:27:00
Deep Fire,CAL FIRE San Bernardino Unit,7/5/11 19:00,San Bernardino County,119,119 acres - 100% contained,"Juniper Flats Rd,, South of Apple Valley",7/3/11 16:05,7/3/11,16:05:00
Murphy Fire,USFS Plumas National Forest ,1/4/19 9:22,Plumas County,117,117 acres - 100% contained ***This is not a CAL FIRE incident. Please click the link above for more information,"off Hwy 70 near Chips Creek, west of Belden",8/7/18 2:11,8/7/18,2:11:00
3-11 Fire,CAL FIRE Lassen-Modoc Unit,7/26/15 10:10,Modoc County,116,116 acres - 100% contained,"on Splawn Mountain, northeast of Bieber",7/23/15 16:40,7/23/15,16:40:00
Bridle Fire,CAL FIRE Santa Clara Unit,1/4/19 9:54,Santa Clara County,116,116 acres - 100% contained,"off Bridal Path Drive and Butch Drive, east of Gilroy",7/6/18 10:40,7/6/18,10:40:00
Fallon Fire,CAL FIRE Santa Clara Unit,1/9/18 13:41,Alameda County,116,116 acres - 100% contained,off Fallon Road 3 miles East of Dublin ,10/17/17 14:00,10/17/17,14:00:00
Idria Fire,CAL FIRE San Benito-Monterey,1/4/19 9:49,San Benito County,116,116 acres - 100% contained,"Panoche Rd and New Idria Rd, west of San Joaquin",7/12/18 12:57,7/12/18,12:57:00
Pine Fire,Kern County Fire ,1/4/19 9:17,Kern County,114,114 acres - 100% contained,"off Pine Mountain Road and Granite Road, north of Bakersfield",8/16/18 16:06,8/16/18,16:06:00
Sierra Fire,CAL FIRE Santa Clara Unit,7/31/16 18:30,Santa Clara County,114,114 acres - 100% contained,"Off Sierra Rd & Calaveras Rd, Spring Valley",7/30/16 17:25,7/30/16,17:25:00
Mountain Fire,CDF Riverside Unit/Riverside County Fire ,8/9/06 19:00,Riverside,113,100% contained - 113 acres,Banning areas,8/8/06 10:36,8/8/06,10:36:00
Pines Fire,Angeles National Forest,9/23/06 6:00,Los Angeles,113,100% containted - 113 acres,Angeles Forest Highway and Angeles Crest Highway Junction,9/19/06 15:08,9/19/06,15:08:00
Coal Fire,CAL FIRE Butte Unit,6/20/16 19:50,Butte County,112,112 acres - 100% contained,"Off Coal Canyon Rd & Hwy 70, north of Oroville",6/20/16 16:38,6/20/16,16:38:00
Lake Fire,CAL FIRE San Luis Obispo Unit,10/11/10 9:00,San Luis Obispo County,112,112 acres - 100% contained,"Off Nacimento Lake Dr and Dragonbreath Place, 1 miles east of Lake Nacimiento and northwest of Paso Robles",10/9/10 18:36,10/9/10,18:36:00
Southridge Fire,Sutter County Fire Department,7/27/11 18:20,Sutter County,112,112 acres - 100% contained**This is NOT a CAL FIRE incident.,10 Miles Northwest of Yuba City  ,7/27/11 15:40,7/27/11,15:40:00
Tulloch Fire,CAL FIRE Tuolumne-Calaveras Unit,8/16/15 19:20,Tuolumne County,112,112 acres - 100% contained,"outh of Hwy 108 & Tulloch Rd, south of Lake Tulloch",8/15/15 16:11,8/15/15,16:11:00
Flat Fire,CAL FIRE / Fresno County Fire,1/9/18 12:45,Fresno County,111,111 acres - 100% contained,"Oak Flat Lane and Sales Creek Rd., 5 miles south of Tollhouse ",8/26/17 14:31,8/26/17,14:31:00
Lone Fire,CAL FIRE / Butte County Fire,1/9/18 11:01,Butte County,111,111 acres - 100% contained,"Lone Tree Rd & Cox Ln, south of Oroville",6/22/17 11:10,6/22/17,11:10:00
Shinn Fire,Bureau of Land Management - Northern California District,7/3/15 18:00,Lassen County,111,111 acres - 100% contained. **This was NOT a CAL FIRE Incident. Click this link for more information from the Bureau of Land Management.,"ear Shinn Mountain, 10 miles southeast of Ravendale",6/30/15 18:00,6/30/15,18:00:00
Banner Fire,CAL FIRE San Diego Unit,7/3/07 8:00,San Diego County,110,100% contained - 110 Acres  Banner Grade and Wynola Road on the backside of Shelter Valley near Julian.,Banner Grade and Wynola Road on the backside of Shelter Valley near Julian,7/1/07 14:30,7/1/07,14:30:00
Cleghorn Fire,San Bernardino National Forest,8/18/13 20:55,San Bernardino County,110,110 acres - 100% contained*** This was not a CAL FIRE incident. Click the link above for information from the San Bernardino National Forest. *** ,I-15 Cajon Pass south of Cleghorn Road,8/17/13 17:25,8/17/13,17:25:00
Scissors Fire,CAL FIRE San Diego Unit,8/1/10 19:00,San Diego County,110,110 acres - 100% contained,"County Road S-2, 3 miles north of  Hwy 78, along south boundary of Anza Borrego State Park",7/31/10 9:10,7/31/10,9:10:00
Windmill Fire,Santa Barbara County Fire,1/4/19 9:38,Santa Barbara County,110,110 acres - 100% contained.,"Highway 246, west of Buellton",7/20/18 14:23,7/20/18,14:23:00
Clinton Fire,CAL FIRE/Fresno County Fire,6/13/13 21:30,Fresno County,108,108 acres - 100% contained,"Clinton and Highland, East of Fresno",6/13/13 11:54,6/13/13,11:54:00
Cobble Fire,CAL FIRE Fresno-Kings Unit,1/4/19 10:22,Fresno County,108,108 acres - 100% contained,"Cobblestone Lane and Thernal Road, Tivy Valley",5/26/18 14:52,5/26/18,14:52:00
Salmon Fire,CAL FIRE Amador-El Dorado Unit,8/16/12 8:00,El Dorado County,108,108 acres - 100% contained ,"Salmon Falls Road, south of Pilot Hill",8/15/12 15:00,8/15/12,15:00:00
Tenaja Fire,Cleveland National Forest,1/16/10 9:00,Riverside County,107,107 acres - 100% containment,"Hwy. 74 and Morrel Canyon, 4 miles west of Lake Elsinore",1/14/10 12:07,1/14/10,12:07:00
Lake Fire,CAL FIRE Fresno-Kings Unit,1/26/14 18:00,Fresno County,106,106 acres - 100% contained,off Trimmer Springs Rd & Sunnyslope Rd near Pine Flat Lake ,1/25/14 6:37,1/25/14,6:37:00
Pala Fire,CAL FIRE San Diego Unit,6/24/10 9:00,San Diego County,106,106 acres - 100% contained.,"NorthÃ‚sideÃ‚ofÃ‚HwyÃ‚76,Ã‚atÃ‚theÃ‚baseÃ‚ofÃ‚PalomarÃ‚Mtn.,Ã‚east of Interstate 15",6/23/10 15:37,6/23/10,15:37:00
Western Fire,CAL FIRE Mendocino Unit,1/4/19 9:26,Mendocino County,106,106 acres - 100% contained,"Off Highway 101, south of Hopland",8/1/18 15:53,8/1/18,15:53:00
Canyon Fire,CAL FIRE / Riverside County Fire,1/9/18 10:33,Riverside County,105,105 acres - 100% contained ,Banning,6/15/17 11:36,6/15/17,11:36:00
Freeman Fire,CAL FIRE San Benito-Monterey Unit ,6/29/13 18:30,Monterey County,105,105 acres - 100% contained,"off Hwy 198, 10 miles east of King City",6/29/13 14:09,6/29/13,14:09:00
Poly Fire,CAL FIRE San Luis Obispo Unit,1/9/18 13:26,San Luis Obispo County,105,105 acres - 100% contained ,ear Cal Poly,9/26/17 15:30,9/26/17,15:30:00
River Fire,Oceanside Fire Department,5/19/14 9:20,San Diego County,105,105 acres - 100% contained This was NOT a CAL FIRE incident. Click the link above for information.,"North River Road and College Blvd., Oceanside",5/14/14 12:12,5/14/14,12:12:00
Sheppard Fire,CAL FIRE  Mendocino Unit,7/21/09 18:00,Mendocino County,105,105 acres - 100% contained,Spanish Canyon and the Oak Knoll area outside of Ukiah,7/20/09 15:24,7/20/09,15:24:00
Waltz Fire ,CAL FIRE/Placer County Fire,6/15/12 19:00,Placer County,105,105 acres - 100% contained,"Waltz Road and N. Dowd Road, off new Hwy 65 Bypass north of Lincoln",6/15/12 17:30,6/15/12,17:30:00
Munjar Fire,CAL FIRE Butte Unit ,10/2/15 17:50,Butte County ,104,104 acres - 100% contained,"Munjar Rd, 10 miles north of Chico",10/2/15 14:38,10/2/15,14:38:00
Black Fire,CAL FIRE Siskiyou Unit,9/4/09 21:30,Siskiyou County,103,103 acres - 100% contained,2 miles southeast of Hornbrook,9/2/09 13:42,9/2/09,13:42:00
Cache Fire,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 9:14,Lake County,103,103 acres - 100% contained,"Hwy 20 and New Long Valley Rd, Clear Lake Oaks          ",8/26/18 18:04,8/26/18,18:04:00
Humboldt Fire,Unified Command: CAL FIRE/Butte County and Chico Fire Department,4/12/18 14:52,Butte County,103,103 acres - 100% contained,"Humboldt Rd & Hwy 32, 2 miles east of Chico ",7/19/17 16:02,7/19/17,16:02:00
Jelly Fire,CAL FIRE Tehama-Glenn Unit,1/4/19 10:24,Tehama County,103,103 acres - 100% contained,"Off Jellysferry Rd, north of Red Bluff",5/18/18 16:37,5/18/18,16:37:00
La Grange Fire ,CAL FIRE Tuolumne-Calaveras Unit,7/10/12 18:30,Tuolumne,103,103 acres - 100% contained,"off La Grange Rd & Bonds Flat Rd, southwest of Don Pedro Reservoir",7/10/12 13:00,7/10/12,13:00:00
Coalinga Fire,CAL FIRE Fresno-Kings Unit,1/9/18 12:48,Fresno County,102,102 acres - 100% contained,"Mendota Road and Interstate 5, 12 miles north of Coalinga",8/30/17 16:51,8/30/17,16:51:00
Haybarn Fire,Camp Pendleton Marine Base,6/17/09 7:30,San Diego County,102,102 acres - 100% containmentAll evacuations have been lifted.,On the hillside across from the Ranch House on Vandegrift Boulevard.,6/16/09 13:20,6/16/09,13:20:00
Italian Fire,CAL FIRE Tuolumne-Calaveras Unit,8/24/07 19:30,Tuolumne County,102,100% contained - 102 acres,"Italian Bar Road and Yankee Hill Road, Columbia",8/22/07 23:00,8/22/07,23:00:00
Lariat Fire,San Jose Fire Department,1/9/18 11:53,Santa Clara County,101,101 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information from the San Jose City Fire Department.,"Lariat Lane and Claitor Way, 6 miles northeast of San Jose",7/11/17 16:51,7/11/17,16:51:00
Little Fire,US Forest Service - Modoc National Forest ,8/13/14 6:15,Modoc County,101,101 acres - 100% contained,"Northeast of Mud Springs, 9 miles South of Tionesta",8/12/14 15:00,8/12/14,15:00:00
Bailey Fire,CAL FIRE San Mateo-Santa Clara Unit,8/18/16 19:50,Santa Clara County,100,100 acres - 100% contained,"Hwy 101 & Bailey Rd, South San Jose",8/17/16 15:19,8/17/16,15:19:00
Balch Fire,CAL FIRE Tulare Unit,1/4/19 9:33,Tulare County,100,100 acres - 100% contained,"off Balch Park Road and Yokohl Drive, northeast of Porterville",7/27/18 12:14,7/27/18,12:14:00
Bally Fire,CAL FIRE Santa Clara Unit/Gilroy Fire Dept,1/9/18 12:50,Santa Clara County,100,100 acres - 100% contained,"Ballybunion Ct, Gilroy",9/3/17 19:17,9/3/17,19:17:00
Bee Fire ,CAL FIRE San Diego Unit,6/6/11 19:00,San Diego County,100,100 acres - 100% contained,"Bee Canyon Rd & Marron Valley Rd, Southeast of Dulzura",6/5/11 15:42,6/5/11,15:42:00
Bee Fire,Angeles National Forest / Los Angeles County Fire Department,8/11/13 19:15,Los Angeles County,100,100 acres - 100% contained*** This was not a CAL FIRE incident. Click the link above for information from the Angeles National Forest.,San Francisquito Canyon Rd & Stator Ln,8/9/13 17:15,8/9/13,17:15:00
Border Fire,CAL FIRE San Diego Unit,5/23/13 8:30,San Diego County,100,100 acres - 100% contained,Off Alta Rd in the Otay Mesa area,5/22/13 16:14,5/22/13,16:14:00
Box Fire,San Bernardino National Forest ,1/4/19 9:55,San Bernardino County,100,100 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.,"off Interstate 15 and Kenwood Ave, north of San Bernardino",7/6/18 9:36,7/6/18,9:36:00
Bradley Fire,CAL FIRE San Benito-Monterey Unit,7/23/16 8:45,Monterey County,100,100 acres - 100% contained,"off Highway 101 and San Antonio River, south of Bradley ",7/22/16 15:15,7/22/16,15:15:00
Church Fire,CAL FIRE San Diego Unit,1/9/18 13:41,San Diego County,100,100 acres - 100% contained,"off Highway 94 and Church Rd, Campo Indian Reservation ",10/21/17 13:04,10/21/17,13:04:00
Cloverdale Fire, San Diego Fire-Rescue Department,1/4/19 9:19,San Diego County,100,100 acres - 100% contained***This is not a CAL FIRE incident. Click the link for more information.,"off San Pasqual Valley Rd, near Escondido.",8/13/18 14:58,8/13/18,14:58:00
Cow Fire,CAL FIRE Shasta-Trinity Unit,9/25/16 13:15,Shasta County,100,100 acres - 100% contained,off Whitmore Road and Old Cow Creek Road,9/25/16 7:15,9/25/16,7:15:00
Creek Fire ,CAL FIRE San Luis Obispo Unit,11/15/12 8:15,San Luis Obispo County,100,100 acres - 100% contained,North side of Coon Creek in the Montana de Oro State Park,11/13/12 2:15,11/13/12,2:15:00
De Luz Fire,CAL FIRE / Riverside County Fire,7/3/09 8:00,Riverside County,100,100 acres - 100% contained,West of Temecula,7/2/09 14:34,7/2/09,14:34:00
Diablo Fire,CAL FIRE Santa Clara Unit,8/4/16 7:45,Stanislaus County,100,100 acres - 100% contained,"Off Diablo Grande Parkway and Morton Davis Circle, 9 miles SW of Patterson ",8/3/16 16:08,8/3/16,16:08:00
Feather Fire,CAL FIRE Butte Unit,5/16/08 12:00,Butte County,100,100% contained - 100 acres,East of Oroville in the South Feather River Canyon ,5/15/08 3:00,5/15/08,3:00:00
Feather Fire,CAL FIRE San Diego,7/20/16 13:45,San Diego County,100,100 acres - 100% contained,"off of El Capitan Truck Trail, south of Ramona ",7/18/16 13:08,7/18/16,13:08:00
Finley Fire,CAL FIRE Nevada-Yuba-Placer Unit,8/31/08 8:00,Nevada County,100,100 acres - 100% contained,"Willow Glen, north of Collins Lake",12/31/69 16:00,12/31/69,16:00:00
Hart Fire,Kern County Fire,8/7/16 20:15,Kern County,100,100 acres - 100% contained,"off Hwy 58 and Hart Flat Rd, Tehachapi ",8/4/16 17:10,8/4/16,17:10:00
Hughes Fire,Los Angeles County Fire,6/23/11 13:00,Los Angeles County,100,100 acres - 75% contained**This is not a CAL FIRE incident. Click the link above for information from LA County Fire.  ,14 Freeway and Escondido Canyon,6/23/11 11:00,6/23/11,11:00:00
Latrobe Fire,CAL FIRE Amador-El Dorado Unit,6/10/08 16:00,El Dorado County,100,100% - 100 acres ,"Latrobe Rd and Brentwood, El Dorado Hills",6/10/08 10:00,6/10/08,10:00:00
Long Fire,CAL FIRE Sonoma Lake Napa Unit,1/9/18 13:38,Lake County,100,100 acres - 100% contained,"off Hwy 20 & Long Valley Rd, 5 miles east of Clearlake Oaks",10/14/17 5:00,10/14/17,5:00:00
Middle Fire,CAL FIRE Tuolomne-Calaveras Unit,7/24/11 4:50,Calaveras County,100,100 acres - 100% contained,ear Mokelumne River at Middle Bar Bridge,7/22/11 16:48,7/22/11,16:48:00
Mile Fire,San Bernardino National Forest,1/9/18 12:16,San Bernardino County,100,100 acres - 100% contained   *** This is not a CAL FIRE incident. Click the link above for information from San Bernardino National Forest,"Hwy 18 x Old Waterman Canyon Rd., 1 mile south of Crestline",7/31/17 14:44,7/31/17,14:44:00
Murphy Fire,CAL FIRE Tuolumne-Calaveras Unit,6/2/13 16:55,Tuolumne County,100,100 acres - 100% contained,off Lime Kiln Rd,6/2/13 13:30,6/2/13,13:30:00
Narrows Fire,CAL FIRE San Diego Unit,6/17/10 14:00,San Diego County,100,100 acres - 100% contained,"Hwy 78 east of S2, East of Julian",6/16/10 17:00,6/16/10,17:00:00
Oakmont Fire (Central LNU Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,4/5/18 12:01,Sonoma County,100,100 acres,east side of Highway 12 near the Oakmont community,10/14/17 20:35,10/14/17,20:35:00
Palermo Fire ,CAL FIRE Butte Unit,6/15/12 16:15,Butte County,100,100 acres - 100% contained,"Ophir Road and Highway 70, Northwest of Palermo",6/15/12 14:10,6/15/12,14:10:00
Parkfield Fire,CAL FIRE Fresno-Kings Unit,1/9/18 12:51,Fresno County,100,100 acres - 100% contained,"Hwy 198 and Mineral Springs Rd., 9 miles west of Coalinga",9/3/17 9:23,9/3/17,9:23:00
Saratoga Fire,CAL FIRE Sonoma-Lake-Napa Unit,9/5/14 18:30,Lake County,100,100 acres - 100% contained,"off Hwy 20 & Saratoga Road, west of Upper Lake",9/3/14 16:03,9/3/14,16:03:00
